pO2,pCO2,f1,f2
50.45,51.8,-0.0157209,0.0586873
50.45,52,-0.0158172,0.0595286
50.45,52.2,-0.0159134,0.0603674
50.45,52.4,-0.0160094,0.0612038
50.45,52.6,-0.0161053,0.0620378
50.45,52.8,-0.0162011,0.0628694
50.45,53,-0.0162967,0.0636985
50.45,53.2,-0.0163921,0.0645253
50.45,53.4,-0.0164875,0.0653497
50.45,53.6,-0.0165827,0.0661717
50.45,53.8,-0.0166777,0.0669914
50.45,54,-0.0167726,0.0678088
50.45,54.2,-0.0168674,0.0686239
50.45,54.4,-0.016962,0.0694366
50.45,54.6,-0.0170565,0.070247
50.45,54.8,-0.0171508,0.0710552
50.45,55,-0.017245,0.0718611
50.45,55.2,-0.0173391,0.0726648
50.45,55.4,-0.017433,0.0734662
50.45,55.6,-0.0175268,0.0742654
50.45,55.8,-0.0176204,0.0750624
50.45,56,-0.0177139,0.0758572
50.45,56.2,-0.0178073,0.0766498
50.45,56.4,-0.0179005,0.0774403
50.45,56.6,-0.0179935,0.0782285
50.45,56.8,-0.0180865,0.0790147
50.45,57,-0.0181792,0.0797987
50.45,57.2,-0.0182719,0.0805805
50.45,57.4,-0.0183644,0.0813603
50.45,57.6,-0.0184567,0.0821379
50.45,57.8,-0.0185489,0.0829135
50.45,58,-0.018641,0.083687
50.45,58.2,-0.0187329,0.0844584
50.45,58.4,-0.0188247,0.0852278
50.45,58.6,-0.0189164,0.0859951
50.45,58.8,-0.0190079,0.0867604
50.45,59,-0.0190992,0.0875237
50.45,59.2,-0.0191905,0.0882849
50.45,59.4,-0.0192815,0.0890442
50.45,59.6,-0.0193725,0.0898015
50.45,59.8,-0.0194633,0.0905568
50.45,60,-0.0195539,0.0913101
50.45,60.2,-0.0196444,0.0920615
50.45,60.4,-0.0197348,0.0928109
50.45,60.6,-0.019825,0.0935584
50.45,60.8,-0.0199151,0.094304
50.45,61,-0.0200051,0.0950477
50.45,61.2,-0.0200949,0.0957894
